X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
	2024-10-16 17:10:34	2024-10-14	NUZE	Nuzee, Inc.	Dyt Info Pte. Ltd.	10%	P - Purchase	$0.57	+701,754	1,496,159	+88%	+$400,000				
	2024-10-16 16:46:26	2024-10-11	ZVRA	Zevra Therapeutics, Inc.	Watton Corey Michael	Dir	P - Purchase	$7.92	+500	1,500	+50%	+$3,958				
M	2024-10-16 16:27:58	2024-10-14	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	$6.61	+24,500	8,990,376	0%	+$161,936				
D	2024-10-16 16:18:06	2024-10-15	CBLL	Ceribell, Inc.	Tammenoms Bakker Juliet	Dir	P - Purchase	$17.00	+237,234	2,481,728	+11%	+$4,032,978				
	2024-10-16 16:12:20	2024-10-16	GALT	Galectin Therapeutics Inc	Freeman Kevin D	Dir	P - Purchase	$2.70	+10,000	131,532	+8%	+$27,000				
D	2024-10-16 16:07:29	2024-10-16	ZIVO	Zivo Bioscience, Inc.	Payne John Bernard	Pres, CEO	P - Purchase	$15.76	+6,343	7,909	+405%	+$99,966				
	2024-10-16 16:05:02	2024-10-16	SPFX	Standard Premium Finance Holdings, Inc.	Hoechner Carl Christian	Dir	P - Purchase	$1.35	+100	172,100	0%	+$135				
	2024-10-16 16:01:34	2024-10-15	KFS	Kingsway Financial Services Inc	Hansen Kent A	CFO, EVP	P - Purchase	$8.81	+178	126,665	0%	+$1,568				
	2024-10-16 16:00:25	2024-10-15	KFS	Kingsway Financial Services Inc	Fitzgerald John Taylor Maloney	Pres, CEO	P - Purchase	$8.81	+284	1,585,192	0%	+$2,502				
	2024-10-16 15:19:19	2024-10-15	AESI	Atlas Energy Solutions Inc.	Shepard Gregory M	Member of 10% Owner Group	P - Purchase	$19.88	+2,200	7,505,397	0%	+$43,736				
	2024-10-16 11:16:18	2024-10-15	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,044.33	+12	1,138,181	0%	+$12,532				
M	2024-10-16 10:26:19	2024-10-14	BDCO	Blue Dolphin Energy Co	Carroll Jonathan P	CEO, Pres, 10%	P - Purchase	$4.00	+15,000	4,024,779	0%	+$60,000				
	2024-10-16 08:31:25	2024-10-15	APRE	Aprea Therapeutics, Inc.	Gilad Oren	Pres, CEO	P - Purchase	$2.90	+250	334,695	0%	+$725				
	2024-10-16 08:30:47	2024-10-14	APRE	Aprea Therapeutics, Inc.	Duey Marc	Dir	P - Purchase	$2.58	+190	210,715	0%	+$490				
	2024-10-16 08:30:13	2024-10-11	APRE	Aprea Therapeutics, Inc.	Hamill John P.	SrVP, CFO, Prin Fin, Acct Ofcr	P - Purchase	$2.46	+50	19,368	0%	+$123				
	2024-10-16 07:18:35	2024-10-15	BUKS	Butler National Corp	Daly Joseph Patrick	Dir, 10%	P - Purchase	$1.38	+5,000	8,165,000	0%	+$6,900				
	2024-10-15 21:50:04	2024-10-10	PEGY	Pineapple Energy Inc.	Conroy Jeffrey J.	10%	P - Purchase	$0.12	+350,704	2,194,690	+19%	+$40,331				
D	2024-10-15 21:23:26	2024-10-15	RDAC	Rising Dragon Acquisition Corp.	Xing Lulu	CEO, COB, 10%	P - Purchase	$0.00	+254,375	1,691,875	+18%	+$0				
D	2024-10-15 21:21:56	2024-10-15	RDAC	Rising Dragon Acquisition Corp.	Aurora Beacon LLC	10%	P - Purchase	$0.00	+254,375	1,691,875	+18%	+$0				
